seq	headword	coinage_cats	modern_cats	source_period
235	תַּפִּית	[19]	[1]	C
236	טְרִיפָה א	[4]	[1]	C
237	שֶׁבֶר א	[4]	[1]	B
238	הַשָּׂגָה	[4]	[1]	C
239	אִסּוּם	[4]	[]	N
240	פּוֹתַחַת	[4]	[1, 2]	C
241	אִינְסְפִּירַצְיָה	[20]	[]	N
242	מָחוֹךְ א	[17]	[]	N
243	בְּרִיאָה א	[4]	[1, 2]	B
244	נַגְדָּה	[4]	[1]	M
245	הֲנָפָה א	[4]	[1]	C
246	חֹר א	[4]	[1]	B
247	עַלְעוֹל א	[16]	[1]	C
248	אַגְרוֹנוֹמוֹן	[19]	[1]	C
249	אֻנָּה	[16]	[1, 2]	C
250	מַצָּת	[4]	[]	N
251	מַרְגֵּשָׁה	[4]	[1]	C
252	גֻּלְּתָא	[16]	[1]	C
253	הִדָּרוֹן	[10]	[1]	M
254	בַּקָּרָה	[4]	[1, 2]	B
255	הִתְעַקְּרוּת ב	[4]	[]	N
256	עִטּוּשׁ	[4]	[1]	C
257	פָּרָה	[10]	[1]	B
258	רִעֽוּעַ	[4]	[1]	M
259	טֵלֵפוֹנַאי	[11]	[]	N
260	הִכָּחֲדוּת	[4]	[]	N
261	סְפִּידוֹמֶטֶר	[20]	[]	N
262	טַיְטְשׁ	[20]	[]	N
263	וִיגִילַנְטִיּוּת	[11]	[]	N
264	נִיא	[0]	[1]	C
265	מִצּוּי	[4]	[1, 2]	C
266	נֶזַע	[5]	[]	N
267	כְּמוּרָה	[4]	[]	N
268	סְתַרְשָׁף	[14]	[]	N
269	מִסּוּי	[4]	[]	N
270	זִעוּף	[4]	[1]	C
271	אֵגִיפְּטוֹלוֹגְיָה	[20]	[]	N
272	חַמָּה	[4]	[1]	B
273	לְקִיטָה	[4]	[1]	C
274	מוֹקְדָה	[4]	[1]	B
275	קוֹרְפּוֹרַצְיָה	[20]	[]	N
276	הֲרִיגָה	[4]	[1, 2]	C
277	גִּלְשׁוֹן	[4]	[]	N
278	שְׁלֵמוּת	[10]	[1]	M
279	רַעֲיוֹן	[4]	[1]	B
280	בִּתְרוֹן	[4]	[1]	B
281	קְרוּסְטְמֵל	[19]	[1]	C
282	אִכָּרוּת	[10]	[]	N
283	פַּשׁ	[0]	[1]	B
284	קוֹנְסְפֶּקְט	[20]	[]	N
285	אוֹבְּסְטְרוּקְצִיָּה	[20]	[]	N
286	טַמְטֵמָה	[4]	[]	N
287	שַׁחְפָן	[10]	[]	N
288	מַרְצֶפֶת	[4]	[1]	B
289	זִפְזוּף	[4]	[]	N
290	יְהִיבָה	[4]	[1]	C
291	חַלָּמוּת	[0]	[1]	B
292	הֶגְדֵּל	[4]	[1]	M
293	סַפִּירוּת	[10]	[1]	M
294	בְּלֵיְזֵר	[20]	[]	N
295	עִקּוּל ב	[4]	[1]	M
296	אִיזוֹלָטוֹר	[20]	[]	N
297	תֵּימָן	[4]	[1, 2]	B
298	הִצְטַהֲבוּת	[4]	[]	N
299	סוֹל ג	[20]	[]	N
300	נַדְבָן	[4]	[1]	M
301	לוּלָב	[4]	[1]	C
302	סֶפְּטֵט	[20]	[]	N
303	נְבִירָה	[4]	[]	N
304	קֵסַלְפִּינִיִּים	[11]	[]	N
305	הִתְלָאֲמוּת	[4]	[]	N
306	תְּמִימוּת	[10]	[1]	C
307	חֶדֶל א	[4]	[1]	M
308	קָבַלְקָדָה	[20]	[]	N
309	מוֹנוֹגְרַפְיָה	[20]	[]	N
310	הֶקְדֵּם	[4]	[]	N
311	רֽשֶׁם	[4]	[1, 2]	C
312	צֵמֶנְט	[20]	[]	N
313	שִׁפּוּעַ ב	[4]	[1]	C
314	הַזְרָמָה	[4]	[]	N
315	צִמְדָּה	[10]	[]	N
316	הֶרְקֵד	[4]	[1]	C
317	מָנוֹחַ א	[4]	[1]	B
318	קָדוֹחַ	[4]	[]	N
319	כַּחְשׁוּת ב	[10]	[1]	M
320	כַּרְכֶּֽשֶׁת	[16]	[1]	C
321	אֵטָטִיזְם	[20]	[]	N
322	בְּנָיוּת	[10]	[1]	M
323	מַגִּישׁ	[4]	[]	N
324	דַּיְנָן	[4]	[1]	C
325	נִפְטָר	[4]	[1]	M
326	דֹּֽרֶן	[5]	[]	N
327	נַפָּחָא	[16]	[1]	C
328	הֵחָשְׂפוּת	[4]	[]	N
329	פֶּרֶק	[4]	[1, 2]	B
330	פְּרַגְמַטְיָא	[19]	[1]	C
331	תַּרְצָן	[4]	[1]	M
332	מַרְטֵט	[4]	[]	N
333	מַעֲבָטָה	[4]	[]	N
334	כֵּרוּךְ	[4]	[]	N
335	פְלֵשׁ	[20]	[]	N
336	אִינְקוּנַבּוּל	[20]	[]	N
337	טְרַנְסְגְּרֶסְיָה	[20]	[]	N
338	תֶּסֶס	[4]	[]	N
339	אֹֽהֶל	[0]	[1]	B
340	שִׂבָּרוֹן	[10]	[1]	M
341	מְנִיפָה	[4]	[1]	C
342	דִּיסְק	[20]	[]	N
343	הֶקְטוֹגְרָף	[20]	[]	N
344	מִצְרָא	[16]	[1]	C
345	אוֹיְבוּת	[10]	[]	N
346	פִיקְסַצְיָה	[20]	[]	N
347	חַפְּשָׂן	[4]	[]	N
348	רֵפֵרֶנְדּוּם	[20]	[]	N
349	מַמְלְכוּת	[10]	[1]	B
350	יִרְאָה	[4]	[1]	B
351	רְאָיָה	[4]	[1]	C
352	רֶנְטְגֵּן	[20]	[]	N
353	דֵּצֶמְבֵּר	[20]	[]	N
354	מוֹחוֹן	[10, 22]	[]	N
355	שׁוֹנוּת	[10]	[]	N
356	נַסָּר	[4]	[1]	C
357	דַּף	[16]	[1, 2]	C
358	גְּדִיעָה	[4]	[1]	M
359	קַרְיוֹקָה	[20]	[]	N
360	מֵטָלוּרְגִּיָּה	[20]	[]	N
361	הוֹדָאָה	[4]	[1, 2]	C
362	דֵּלוּזְיָה	[20]	[]	N
363	חוֹחַ א	[0]	[1]	B
364	הַצָּלָה	[4]	[1]	B
365	חַג	[4]	[1]	B
366	עַתִּיקָנִיָּה	[10]	[]	N
367	דִּיאוֹפְּטְרִיָּה	[20]	[]	N
368	סָבָה	[10]	[]	N
369	קוֹלוֹנְיָאלִיסְט	[20]	[]	N
370	נְחִישָׁה	[4]	[1]	M
371	סַחֶבֶת	[4]	[]	N
372	פֶּסַע	[4]	[1, 2]	M
373	נֵאוֹפְּלַזְמָה	[20]	[]	N
374	שַׁיֶּֽפֶת	[4]	[]	N
375	קוֹנְסְטַנְטָה	[20]	[]	N
376	חַיֶּֽלֶת	[10]	[]	N
377	הִתְבַּהֲקוּת	[4]	[]	N
378	קוֹצָנִיּוּת	[10]	[]	N
379	נוֹצִיץ	[7]	[]	N
380	יוֹעֵץ	[4]	[1, 2]	B
381	מִרְקַחַת	[4]	[1, 2]	B
382	קְטִינוּת	[10]	[]	N
383	חַלְכּוּם	[20]	[]	N
384	בּוֹרַקְס	[20]	[]	N
385	שַׁאֲפָנוּת	[10]	[]	N
386	גִּבּוּל	[4]	[1]	C
387	אִחוּל	[4]	[]	N
388	אַחְרָיוּת	[10]	[1, 2]	C
389	קַפְצָה	[19]	[1]	C
390	תִּלְבּֽשֶׁת	[4]	[1]	B
391	יַעֶפֶת	[4]	[]	N
392	מִטְבָּל	[4]	[]	N
393	כְּרַבָּא	[16]	[1]	C
394	בּוֹלְעָן	[4]	[]	N
395	קִימָה	[4]	[1]	B
396	קְוַדְרָטוּרָה	[20]	[]	N
397	אִסְפַּנְיוֹלִית	[11]	[]	N
398	דְּפָפָה	[4]	[]	N
399	מַעֲרֶמֶת	[4]	[]	N
400	אִיזוֹטָךְ	[20]	[]	N
401	אִמּוּנִית	[10]	[]	N
402	הַאֲכָפָה	[4]	[]	N
403	צַחְצָחוֹת	[4]	[1]	B
404	רְדִידוּת	[10]	[]	N
405	רְנָנָה	[4]	[1]	B
406	פְלָנֵל	[20]	[]	N
407	לִיגוּסְטְרוּם	[20]	[]	N
408	דִּנְדּוּן	[4]	[]	N
409	חִגְּרוּת	[10]	[1]	M
410	הַלְשָׁנָה	[4]	[1]	M
411	שֶׁנֶף	[16]	[]	N
412	זַמְרִיר	[4]	[]	N
413	עִנְיָנוּת	[10]	[]	N
414	קוּטִית	[19]	[1]	C
415	מְשׁוֹאָה	[4]	[1]	B
416	טַחַן	[4]	[]	N
417	גֵּו א	[0]	[1]	B
418	שִׂגְשׂוּג	[4]	[1]	M
419	פֹּת	[0]	[3]	B
420	הַפְלָגָה	[4]	[1]	M
421	הַעֲנָקָה	[4]	[1]	M
422	בֹּֽהַּ	[4]	[]	N
423	תַּלְתַּלּוֹן	[10]	[]	N
424	שַׁלְחוּפָה	[16]	[]	N
425	מוֹנוֹדְיָה	[20]	[]	N
426	מַטְרִיאַרְכָט	[20]	[]	N
427	פַּעֲמָה	[4]	[2]	B
428	שַׁחַן	[4]	[1]	M
429	הַיְשָׁרָה	[4]	[1]	M
430	תִּמָּהוֹן	[4]	[1, 2]	B
431	מוֹכְרָנוּת	[10]	[]	N
432	בּוּךְ	[4]	[1]	M
433	בּוּז	[4]	[1]	B
434	בָּרוּד	[16]	[]	N
435	שְׁאִיָּה	[4]	[1]	B
436	בַּלְעָנוּת	[10]	[]	N
437	מִזְרְחָנוּת	[10]	[]	N
438	סוֹלָנוּם	[20]	[]	N
439	תִּיּוּר	[4]	[2]	M
440	דָּרֵי	[16]	[1]	C
441	קוֹר	[16]	[1]	C
442	מַחְמוּד	[4]	[1]	B
443	נְאִיצָה	[4]	[1]	M
444	רָמָה	[4]	[1, 2]	B
445	הֶנְגְּאוֹבֵר	[20]	[]	N
446	נִיגֵ׳ס	[20]	[]	N
447	מַפָּח	[4]	[1]	B
448	יִצְרִיּוּת	[10]	[]	N
449	דִּקְלוּם	[4]	[]	N
450	אֶפִּיתֶלְיוֹן	[20]	[]	N
451	פְרֶסְקוֹ	[20]	[]	N
452	דִּיאָגוֹנָל	[20]	[]	N
453	כִּתּוּם	[4]	[]	N
454	בָּקָלָה	[20]	[]	N
455	אַזְבֶּסְטוֹן	[11]	[]	N
456	יַהֲלוֹמָנוּת	[10]	[]	N
457	פְּגִיעוּת	[10]	[]	N
458	הֶעֱלֵם	[4]	[1, 2]	C
459	מָגֹר	[4]	[]	N
460	מַקְטֵפָה	[4]	[]	N
461	מַרְגֵּמָה	[4]	[1, 2]	B
462	שִׁתְחוּל	[4]	[]	N
463	בִּקָּרְתָּן	[10]	[]	N
464	מַלְפָן	[17]	[]	N
465	מַטְמֵן	[4]	[]	N
466	בְּדִיל א	[0]	[1]	B
467	שֹֽׁקַע	[4]	[]	N
468	עַרְמוֹנִית ב	[10, 22]	[]	N
469	אֲמִידָה	[4]	[1]	M
470	טָו	[4]	[]	N
471	מֵחִישׁ	[4]	[]	N
472	תַּגְזִיר	[4]	[]	N
473	מִיסְטֶרְיָה	[20]	[]	N
474	רוֹקְפוֹר	[20]	[]	N
475	עוֹנֵן	[4]	[1]	B
476	שְׁלִילָה א	[4]	[1, 2]	M
477	שִׁפְחָה	[0]	[1]	B
478	פְּרוּטִית	[0]	[1]	C
479	אָמוֹרְטִיזַצְיָה	[20]	[]	N
480	חֵמָה	[0]	[1]	B
481	שַׂעֶרֶת	[4]	[]	N
482	אֶגְרוֹן	[4]	[1]	M
483	חַיִט	[4]	[]	N
484	עֶפֶשׁ	[4]	[1]	M
485	שִׁקְרוּת	[10]	[1]	M
486	הֲנָאָתָן	[10]	[]	N
487	נְשִׁי א	[4]	[1]	B
488	דּוֹפֵק	[4]	[1]	C
489	הַפְשָׁלָה	[4]	[1]	C
490	שִׁלְטוֹן	[4]	[1]	B
491	פִילְהַרְמוֹנְיָה	[20]	[]	N
492	זִיפִית	[10]	[]	N
493	נָמוֹשָׁה	[0]	[2]	C
494	פַּרְטִיזָנִיּוּת	[11]	[]	N
495	שְׁטַנְץ	[20]	[]	N
496	בּוֹקְסִיט	[20]	[]	N
497	סוֹכְנוּת	[10]	[]	N
498	אִיקְס	[20]	[]	N
499	שִׁחוּר ב	[4]	[1]	M
500	שְׂעִירוּת	[10]	[1]	M
501	אוֹמֶטֶר	[14, 20]	[]	N
502	תַּחְלוּאָה	[10]	[2]	M
503	קְרֵמָטוֹרְיוּם	[20]	[]	N
504	עַצְלָן ב	[4, 22]	[2]	M
505	זְאֵבָה	[10]	[1]	C
506	רֵגוּלוּס	[20]	[]	N
507	גַּז א	[0]	[1]	C
508	אַנְדְּרוֹגִינוֹס	[20]	[1]	C
509	פַּלְסָף	[16]	[]	N
510	שְׁרִיָּה א	[4]	[1]	C
511	גַּלָּב	[4]	[1]	B
512	כּוֹנָן א	[4]	[]	N
